eastwest	northsouth	angle	radialposition	target
8.462788581848145	-38.17317199707031	102.5	39.099998474121094	1769.0
7.964977741241455	-35.92769241333008	102.5	36.79999923706055	1749.0
7.467166900634766	-33.682212829589844	102.5	34.5	1749.0
6.969355583190918	-31.436731338500977	102.5	32.20000076293945	1758.0
6.47154426574707	-29.19124984741211	102.5	29.899999618530273	1750.0
5.973733425140381	-26.945770263671875	102.5	27.600000381469727	1745.0
5.475922107696533	-24.700288772583008	102.5	25.299999237060547	1750.0
4.978111267089844	-22.45480728149414	102.5	23.0	1753.0
4.480299949645996	-20.209327697753906	102.5	20.700000762939453	1734.0
3.9824888706207275	-17.96384620666504	102.5	18.399999618530273	1710.0
3.46303391456604	-15.620736122131348	102.5	16.0	1711.0
2.9652225971221924	-13.375255584716797	102.5	13.699999809265137	1709.0
2.467411518096924	-11.12977409362793	102.5	11.399999618530273	1674.0
1.9696005582809448	-8.884294509887695	102.5	9.100000381469727	1665.0
1.4717893600463867	-6.638813018798828	102.5	6.800000190734863	1680.0
0.9739782810211182	-4.393332004547119	102.5	4.5	1648.0
0.4761671721935272	-2.1478512287139893	102.5	2.200000047683716	1626.0
-0.02164396084845066	0.0976295992732048	102.5	-0.10000000149011612	1581.0
-0.519455075263977	2.3431105613708496	102.5	-2.4000000953674316	1602.0
-1.0172661542892456	4.5885910987854	102.5	-4.699999809265137	1558.0
-1.5150773525238037	6.834072113037109	102.5	-7.0	1538.0
-2.0128884315490723	9.07955265045166	102.5	-9.300000190734863	1506.0
-2.510699510574341	11.325034141540527	102.5	-11.600000381469727	1521.0
-3.0085105895996094	13.570513725280762	102.5	-13.899999618530273	1498.0
-3.527965545654297	15.913623809814453	102.5	-16.299999237060547	1501.0
-4.0257768630981445	18.15910530090332	102.5	-18.600000381469727	1491.0
-4.523587703704834	20.404586791992188	102.5	-20.899999618530273	1481.0
-5.021399021148682	22.650068283081055	102.5	-23.200000762939453	1468.0
-5.519210338592529	24.89554786682129	102.5	-25.5	1455.0
-6.017021179199219	27.141027450561523	102.5	-27.799999237060547	1454.0
-6.514832496643066	29.386510848999023	102.5	-30.100000381469727	1456.0
-7.012643814086914	31.63199234008789	102.5	-32.400001525878906	1459.0
-7.5104546546936035	33.877471923828125	102.5	-34.70000076293945	1451.0
-8.008265495300293	36.12295150756836	102.5	-37.0	1465.0
-8.50607681274414	38.368431091308594	102.5	-39.29999923706055	1451.0
-9.501699447631836	42.859397888183594	102.5	-43.900001525878906	1486.0
-11.016777038574219	49.6934700012207	102.5	-50.900001525878906	1433.0
27.82443618774414	6.168529033660889	12.5	28.5	1631.0
21.087993621826172	4.675095558166504	12.5	21.600000381469727	1618.0
18.842512130737305	4.177284240722656	12.5	19.299999237060547	1607.0
16.59703254699707	3.679473400115967	12.5	17.0	1608.0
14.351551055908203	3.1816623210906982	12.5	14.699999809265137	1601.0
12.106071472167969	2.6838512420654297	12.5	12.399999618530273	1603.0
9.860589981079102	2.186040163040161	12.5	10.100000381469727	1612.0
7.615108966827393	1.6882290840148926	12.5	7.800000190734863	1607.0
5.271998405456543	1.168773889541626	12.5	5.400000095367432	1618.0
3.026517629623413	0.6709628105163574	12.5	3.0999999046325684	1649.0
0.7810367941856384	0.17315168678760529	12.5	0.800000011920929	1595.0
